,ID,State,Subscription_End_Date,Expiring_Dollars,Expiring_Students,Renewal_Date,Metro_Code,Apple_Mac_Code,PC_Code,Poverty_Level_Code,Avg_Household_Income,Title_1_Code,Software_budget_per_head,Training_Budget_Per_head,Lunch_Program_Eligible_Students,Affluence_Indicator,Avg_Sell_price,Renew_delay,Days_group,Subscription_Status
4979,638529,Louisiana,2017-06-30,2758,394,ZZ,ZZ,E,H,C,J,C,G,E,371.0,4.0,7.0,999,11.0,Renewed
4980,638568,Louisiana,2017-06-30,2758,394,ZZ,ZZ,E,H,C,J,C,G,E,217.0,4.0,7.0,999,11.0,Renewed
4981,640674,Arkansas,2017-06-30,5600,800,ZZ,T,K,G,D,B,D,H,D,458.0,1.0,7.0,999,11.0,Renewed
4982,640806,Arkansas,2017-06-30,3262,466,ZZ,T,K,G,D,F,C,G,D,236.0,2.0,7.0,999,11.0,Renewed
4983,640911,Arkansas,2017-06-30,9800,1400,ZZ,T,K,G,D,F,C,G,D,743.0,2.0,7.0,999,11.0,Renewed
4984,645747,Arkansas,2017-06-30,4494,642,ZZ,T,C,G,D,B,D,H,E,983.0,2.0,7.0,999,11.0,Not Renewed
4985,643101,Arkansas,2017-06-30,2345,335,ZZ,R,K,G,C,G,B,E,C,240.0,1.0,7.0,999,11.0,Renewed
4987,647004,Arkansas,2017-06-30,2800,400,ZZ,R,F,G,C,C,B,E,C,266.0,3.0,7.0,999,11.0,Renewed
4988,647106,Arkansas,2017-06-30,2765,395,ZZ,T,K,G,C,F,B,G,A,218.0,2.0,7.0,999,11.0,Renewed
4990,657516,Oklahoma,2017-06-30,2751,393,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0,Not Renewed
4991,657057,Oklahoma,2017-06-30,2100,300,ZZ,R,K,E,C,I,A,Z,Z,132.0,3.0,7.0,999,11.0,Renewed
4992,654570,Oklahoma,2017-06-30,3325,475,ZZ,U,H,H,C,I,C,C,A,224.0,2.0,7.0,999,11.0,Renewed
4993,653331,Oklahoma,2017-06-30,3850,550,ZZ,S,H,G,C,M,B,G,E,327.0,2.0,7.0,999,11.0,Renewed
4994,652134,Oklahoma,2017-06-30,3640,520,ZZ,U,E,I,D,E,C,G,E,603.0,2.0,7.0,999,11.0,Renewed
4995,652317,Oklahoma,2017-06-30,4900,700,ZZ,U,E,I,D,B,C,G,E,914.0,1.0,7.0,999,11.0,Not Renewed
4996,652890,Oklahoma,2017-06-30,2450,350,ZZ,U,E,I,D,I,C,G,E,349.0,2.0,7.0,999,11.0,Renewed
4998,651096,Oklahoma,2017-06-30,6125,875,ZZ,R,K,E,B,O,A,E,C,215.0,3.0,7.0,999,11.0,Renewed
4999,650628,Oklahoma,2017-06-30,1680,240,ZZ,R,K,E,C,J,C,E,C,91.0,5.0,7.0,999,11.0,Renewed
5000,653547,Oklahoma,2017-06-30,2205,315,ZZ,R,H,G,C,P,B,G,E,209.0,4.0,7.0,999,11.0,Renewed
5001,648828,Arkansas,2017-06-30,2240,320,ZZ,R,C,G,C,C,D,E,C,312.0,4.0,7.0,999,11.0,Renewed
5002,648609,Arkansas,2017-06-30,1680,240,ZZ,R,C,E,C,I,C,E,C,183.0,2.0,7.0,999,11.0,Renewed
5003,634059,Louisiana,2017-06-30,1680,240,ZZ,U,ZZ,ZZ,ZZ,Z,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0,Renewed
5004,637731,Louisiana,2017-06-30,1680,240,ZZ,U,E,H,C,C,C,G,E,284.0,2.0,7.0,999,11.0,Not Renewed
5005,637791,Louisiana,2017-06-30,2758,394,ZZ,U,E,H,C,C,C,G,E,232.0,2.0,7.0,999,11.0,Renewed
5006,637851,Louisiana,2017-06-30,2758,394,ZZ,U,E,H,C,C,C,G,E,572.0,2.0,7.0,999,11.0,Not Renewed
5007,637893,Louisiana,2017-06-30,2758,394,ZZ,U,E,H,C,B,C,G,E,240.0,2.0,7.0,999,11.0,Renewed
5008,637950,Louisiana,2017-06-30,2758,394,ZZ,U,E,H,C,J,C,G,E,448.0,5.0,7.0,999,11.0,Not Renewed
5009,637983,Louisiana,2017-06-30,2758,394,ZZ,U,E,H,C,J,C,G,E,264.0,5.0,7.0,999,11.0,Renewed
5010,638064,Louisiana,2017-06-30,2758,394,ZZ,U,E,H,C,B,C,G,E,586.0,2.0,7.0,999,11.0,Not Renewed
5012,631953,Louisiana,2017-06-30,3031,433,ZZ,S,D,F,D,I,C,H,E,1036.0,4.0,7.0,999,11.0,Not Renewed
5014,632772,Louisiana,2017-06-30,1680,240,ZZ,U,ZZ,ZZ,ZZ,B,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0,Renewed
5029,628944,Louisiana,2017-06-30,1680,240,ZZ,R,F,H,D,Z,D,G,D,293.0,4.0,7.0,999,11.0,Not Renewed
5030,628695,Louisiana,2017-06-30,1680,240,ZZ,R,G,H,C,M,C,G,E,175.0,5.0,7.0,999,11.0,Renewed
5031,627453,Louisiana,2017-06-30,1680,240,ZZ,ZZ,ZZ,ZZ,ZZ,P,ZZ,ZZ,ZZ,0.0,5.0,7.0,999,11.0,Renewed
5032,627570,Louisiana,2017-06-30,4900,700,ZZ,U,G,H,C,B,C,G,E,403.0,2.0,7.0,999,11.0,Renewed
5033,628287,Louisiana,2017-06-30,4095,585,ZZ,ZZ,G,H,C,M,C,G,E,346.0,5.0,7.0,999,11.0,Renewed
5034,628350,Louisiana,2017-06-30,4550,650,ZZ,S,G,H,C,L,C,G,E,545.0,5.0,7.0,999,11.0,Renewed
5035,627747,Louisiana,2017-06-30,3710,530,ZZ,U,G,H,C,O,C,G,E,312.0,5.0,7.0,999,11.0,Renewed
5036,627819,Louisiana,2017-06-30,3850,550,ZZ,U,G,H,C,O,C,G,E,371.0,5.0,7.0,999,11.0,Renewed
5037,627918,Louisiana,2017-06-30,8925,1275,ZZ,U,G,H,C,I,C,G,E,978.0,5.0,7.0,999,11.0,Renewed
5038,627987,Louisiana,2017-06-30,6580,940,ZZ,U,G,H,C,L,C,G,E,720.0,5.0,7.0,999,11.0,Renewed
5047,626898,Louisiana,2017-06-30,1680,240,ZZ,ZZ,H,H,B,I,B,G,E,150.0,4.0,7.0,999,11.0,Renewed
5050,560712,Illinois,2017-06-30,1680,240,ZZ,R,A,F,B,J,A,E,B,81.0,2.0,7.0,999,11.0,Renewed
5052,568884,Missouri,2017-06-30,2450,350,ZZ,U,G,I,D,E,D,F,B,957.0,3.0,7.0,999,11.0,Not Renewed
5054,573291,Missouri,2017-06-30,1750,250,ZZ,T,K,K,B,L,B,Z,Z,86.0,2.0,7.0,999,11.0,Renewed
5058,574254,Missouri,2017-06-30,4200,600,ZZ,R,C,D,C,G,B,E,B,185.0,2.0,7.0,999,11.0,Renewed
5059,575790,Missouri,2017-06-30,1680,240,ZZ,T,ZZ,ZZ,ZZ,G,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0,Renewed
5060,576303,Missouri,2017-06-30,1925,275,ZZ,ZZ,K,F,D,D,D,G,C,214.0,4.0,7.0,999,11.0,Renewed
5063,592662,Kansas,2017-06-30,1680,240,ZZ,U,ZZ,ZZ,ZZ,B,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0,Renewed
5064,590241,Kansas,2017-06-30,2695,385,ZZ,T,F,C,C,J,C,E,B,231.0,2.0,7.0,999,11.0,Renewed
5065,591492,Kansas,2017-06-30,2905,415,ZZ,T,C,F,B,O,A,Z,Z,100.0,3.0,7.0,999,11.0,Renewed
5067,602181,Kansas,2017-06-30,1680,240,ZZ,U,ZZ,ZZ,ZZ,K,ZZ,ZZ,ZZ,0.0,2.0,7.0,999,11.0,Renewed
5068,604524,Kansas,2017-06-30,3472,496,ZZ,T,C,G,C,H,B,E,D,301.0,2.0,7.0,999,11.0,Renewed
5077,622080,Louisiana,2017-06-30,1680,240,ZZ,S,ZZ,ZZ,ZZ,K,ZZ,ZZ,ZZ,0.0,3.0,7.0,999,11.0,Renewed
5090,530427,Illinois,2017-06-30,2275,325,ZZ,S,C,G,B,O,A,G,C,136.0,4.0,7.0,999,11.0,Renewed
5091,532086,Illinois,2017-06-30,2499,357,ZZ,S,B,G,B,O,A,G,C,33.0,4.0,7.0,999,11.0,Renewed
5092,532341,Illinois,2017-06-30,1750,250,ZZ,U,H,I,A,Q,A,E,A,62.0,4.0,7.0,999,11.0,Renewed
5095,526068,Illinois,2017-06-30,1960,280,ZZ,S,D,H,C,I,C,F,B,0.0,2.0,7.0,999,11.0,Renewed
5096,525567,Illinois,2017-06-30,2100,300,ZZ,S,K,G,D,G,D,H,C,272.0,3.0,7.0,999,11.0,Not Renewed
5097,522180,Illinois,2017-06-30,1680,240,ZZ,S,ZZ,ZZ,ZZ,O,ZZ,ZZ,ZZ,0.0,4.0,7.0,999,11.0,Renewed
5102,542259,Illinois,2017-06-30,2100,300,ZZ,S,ZZ,ZZ,ZZ,K,ZZ,ZZ,ZZ,0.0,3.0,7.0,999,11.0,Renewed
5103,542571,Illinois,2017-06-30,3885,555,ZZ,U,E,H,D,F,D,H,D,580.0,1.0,7.0,999,11.0,Renewed
5104,539346,Illinois,2017-06-30,3325,475,ZZ,U,ZZ,ZZ,ZZ,M,ZZ,ZZ,ZZ,0.0,4.0,7.0,999,11.0,Renewed
5108,434790,Iowa,2017-06-30,1680,240,ZZ,R,K,D,C,J,C,E,B,77.0,2.0,7.0,999,11.0,Renewed
5113,445029,Wisconsin,2017-06-30,1680,240,ZZ,S,ZZ,ZZ,ZZ,M,ZZ,ZZ,ZZ,0.0,3.0,7.0,999,11.0,Renewed
5114,446430,Wisconsin,2017-06-30,2450,350,ZZ,S,H,H,C,O,B,F,B,111.0,4.0,7.0,999,11.0,Renewed
5115,440895,Iowa,2017-06-30,1680,240,ZZ,T,E,H,C,J,B,H,C,308.0,1.0,7.0,999,11.0,Not Renewed
5116,446688,Wisconsin,2017-06-30,1680,240,ZZ,S,H,H,C,J,B,F,B,186.0,1.0,7.0,999,11.0,Renewed
5117,448479,Wisconsin,2017-06-30,1750,250,ZZ,U,J,I,D,A,D,F,B,330.0,2.0,7.0,999,11.0,Not Renewed
5120,457575,Wisconsin,2017-06-30,3325,475,ZZ,T,F,D,B,J,B,E,B,179.0,1.0,7.0,999,11.0,Renewed
5122,472635,Wisconsin,2017-06-30,1680,240,ZZ,T,ZZ,ZZ,ZZ,L,ZZ,ZZ,ZZ,0.0,3.0,7.0,999,11.0,Renewed
5123,473262,Minnesota,2017-06-30,2275,325,ZZ,S,F,G,A,P,A,H,C,52.0,3.0,7.0,999,11.0,Renewed
5124,473928,Minnesota,2017-06-30,3325,475,ZZ,S,F,G,A,P,A,H,C,52.0,4.0,7.0,999,11.0,Renewed
5125,474951,Minnesota,2017-06-30,7504,1072,ZZ,T,G,G,B,O,A,H,C,345.0,4.0,7.0,999,11.0,Renewed
5127,489282,Minnesota,2017-06-30,2219,317,ZZ,R,A,E,B,I,B,E,B,100.0,5.0,7.0,999,11.0,Renewed
5128,489918,Minnesota,2017-06-30,1680,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0,Not Renewed
5132,497586,South Dakota,2017-06-30,1680,240,ZZ,R,C,F,B,J,B,E,B,25.0,3.0,7.0,999,11.0,Renewed
5134,491622,Minnesota,2017-06-30,2800,400,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0,Not Renewed
5135,491694,Minnesota,2017-06-30,2800,400,ZZ,T,G,F,B,J,B,H,E,208.0,3.0,7.0,999,11.0,Renewed
5136,491964,Minnesota,2017-06-30,2800,400,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0,Not Renewed
5140,293391,Kentucky,2017-06-30,3150,450,ZZ,R,K,F,D,B,D,E,C,0.0,1.0,7.0,999,11.0,Renewed
5143,294858,Kentucky,2017-06-30,2520,360,ZZ,T,D,H,C,F,B,G,D,246.0,1.0,7.0,999,11.0,Renewed
5144,295251,Kentucky,2017-06-30,2975,425,ZZ,R,E,E,C,G,B,E,C,244.0,1.0,7.0,999,11.0,Renewed
5145,295827,Kentucky,2017-06-30,3290,470,ZZ,R,D,H,C,K,B,G,D,233.0,3.0,7.0,999,11.0,Renewed
5146,296748,Kentucky,2017-06-30,4200,600,ZZ,R,K,G,C,I,B,B,A,355.0,1.0,7.0,999,11.0,Renewed
5147,297084,Kentucky,2017-06-30,3500,500,ZZ,R,E,G,C,F,C,E,C,315.0,1.0,7.0,999,11.0,Renewed
5148,298572,Kentucky,2017-06-30,4375,625,ZZ,S,K,H,C,G,B,D,A,484.0,2.0,7.0,999,11.0,Renewed
5149,298623,Kentucky,2017-06-30,6020,860,ZZ,S,K,H,C,G,B,D,A,498.0,2.0,7.0,999,11.0,Renewed
5150,298719,Kentucky,2017-06-30,3885,555,ZZ,S,K,H,C,G,B,D,A,356.0,2.0,7.0,999,11.0,Renewed
5151,292032,Kentucky,2017-06-30,2331,333,ZZ,U,E,G,C,E,C,G,D,241.0,2.0,7.0,999,11.0,Renewed
5152,292245,Kentucky,2017-06-30,2100,300,ZZ,R,C,G,C,K,C,G,D,228.0,3.0,7.0,999,11.0,Not Renewed
5153,290430,Kentucky,2017-06-30,3850,550,ZZ,S,E,H,B,K,A,G,E,208.0,1.0,7.0,999,11.0,Renewed
5154,290718,Kentucky,2017-06-30,1750,250,ZZ,S,A,G,C,K,C,G,E,278.0,5.0,7.0,999,11.0,Not Renewed
5155,290856,Kentucky,2017-06-30,1680,240,ZZ,S,A,G,C,K,C,G,E,257.0,5.0,7.0,999,11.0,Not Renewed
5159,285414,Kentucky,2017-06-30,4375,625,ZZ,T,C,G,C,G,B,H,D,345.0,1.0,7.0,999,11.0,Renewed
5165,280029,Mississippi,2017-06-30,2380,340,ZZ,R,A,G,D,E,D,E,C,325.0,2.0,7.0,999,11.0,Not Renewed
5168,279078,Mississippi,2017-06-30,3955,565,ZZ,S,B,F,C,J,B,E,C,392.0,1.0,7.0,999,11.0,Renewed
5169,335235,Ohio,2017-06-30,4900,700,ZZ,R,B,G,C,J,B,E,B,390.0,1.0,7.0,999,11.0,Renewed
5170,336387,Ohio,2017-06-30,1680,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0,Not Renewed
5172,339807,Ohio,2017-06-30,1680,240,ZZ,S,H,E,B,L,A,H,C,133.0,1.0,7.0,999,11.0,Renewed
5174,335910,Ohio,2017-06-30,4095,585,ZZ,S,B,F,B,L,B,G,C,371.0,3.0,7.0,999,11.0,Renewed
5177,322557,Ohio,2017-06-30,2170,310,ZZ,S,ZZ,ZZ,ZZ,O,ZZ,ZZ,ZZ,0.0,4.0,7.0,999,11.0,Renewed
5178,315096,Ohio,2017-06-30,4900,700,ZZ,T,E,F,B,N,A,E,B,128.0,2.0,7.0,999,11.0,Renewed
5179,315249,Ohio,2017-06-30,1680,240,ZZ,S,E,H,D,C,D,H,C,274.0,4.0,7.0,999,11.0,Not Renewed
5183,314337,Ohio,2017-06-30,1820,260,ZZ,T,E,E,B,N,A,H,C,63.0,3.0,7.0,999,11.0,Renewed
5185,312534,Ohio,2017-06-30,1680,240,ZZ,T,K,F,D,I,D,E,B,232.0,4.0,7.0,999,11.0,Not Renewed
5187,312627,Ohio,2017-06-30,3150,450,ZZ,T,A,F,C,K,B,E,B,0.0,1.0,7.0,999,11.0,Renewed
5188,312048,Ohio,2017-06-30,2555,365,ZZ,R,E,F,C,J,B,E,B,194.0,2.0,7.0,999,11.0,Renewed
5189,309015,Ohio,2017-06-30,1680,240,ZZ,R,E,D,C,M,B,E,B,0.0,5.0,7.0,999,11.0,Renewed
5190,309150,Ohio,2017-06-30,3360,480,ZZ,S,E,G,C,M,B,H,C,0.0,4.0,7.0,999,11.0,Renewed
5192,304560,Ohio,2017-06-30,3430,490,ZZ,U,H,I,D,G,D,F,B,442.0,3.0,7.0,999,11.0,Renewed
5194,297366,Kentucky,2017-06-30,2975,425,ZZ,R,K,G,C,F,B,B,A,169.0,1.0,7.0,999,11.0,Renewed
5196,302757,Ohio,2017-06-30,2212,316,ZZ,S,E,H,B,O,B,E,A,142.0,2.0,7.0,999,11.0,Renewed
5197,302808,Ohio,2017-06-30,1862,266,ZZ,S,E,H,B,O,B,E,A,118.0,2.0,7.0,999,11.0,Renewed
5200,407877,Michigan,2017-06-30,2415,345,ZZ,S,E,F,B,O,A,H,C,97.0,3.0,7.0,999,11.0,Renewed
5202,399402,Michigan,2017-06-30,1925,275,ZZ,U,G,H,C,C,C,H,C,240.0,1.0,7.0,999,11.0,Not Renewed
5205,401448,Michigan,2017-06-30,2884,412,ZZ,T,F,F,C,I,B,F,A,212.0,1.0,7.0,999,11.0,Renewed
5208,393555,Michigan,2017-06-30,1680,240,ZZ,R,E,D,C,G,C,E,B,117.0,2.0,7.0,999,11.0,Renewed
5209,394056,Michigan,2017-06-30,1680,240,ZZ,R,D,G,C,M,B,F,B,99.0,3.0,7.0,999,11.0,Renewed
5210,395325,Michigan,2017-06-30,1680,240,ZZ,S,D,G,C,K,B,F,B,202.0,2.0,7.0,999,11.0,Not Renewed
5211,375012,Michigan,2017-06-30,2100,300,ZZ,S,H,G,A,Q,A,G,C,31.0,5.0,7.0,999,11.0,Renewed
5213,433431,Iowa,2017-06-30,1995,285,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0,Not Renewed
5216,420261,Michigan,2017-06-30,1680,240,ZZ,R,K,E,C,I,B,E,B,137.0,1.0,7.0,999,11.0,Renewed
5217,420477,Michigan,2017-06-30,1680,240,ZZ,R,C,G,C,G,C,H,C,148.0,1.0,7.0,999,11.0,Renewed
5218,421005,Michigan,2017-06-30,2394,342,ZZ,T,B,H,B,J,B,E,B,142.0,2.0,7.0,999,11.0,Renewed
5220,411453,Michigan,2017-06-30,1680,240,ZZ,S,ZZ,ZZ,ZZ,Q,ZZ,ZZ,ZZ,0.0,5.0,7.0,999,11.0,Renewed
5221,414798,Michigan,2017-06-30,3290,470,ZZ,ZZ,E,H,D,B,D,H,D,506.0,1.0,7.0,999,11.0,Not Renewed
5223,416661,Michigan,2017-06-30,1680,240,ZZ,U,H,H,C,F,D,F,B,288.0,3.0,7.0,999,11.0,Not Renewed
5227,370989,Indiana,2017-06-30,1995,285,ZZ,T,ZZ,ZZ,ZZ,J,ZZ,ZZ,ZZ,0.0,2.0,7.0,999,11.0,Renewed
5230,368439,Indiana,2017-06-30,2100,300,ZZ,U,F,H,D,J,D,H,D,210.0,5.0,7.0,999,11.0,Renewed
5233,366867,Indiana,2017-06-30,2590,370,ZZ,R,K,G,C,J,B,E,B,298.0,2.0,7.0,999,11.0,Renewed
5236,367878,Indiana,2017-06-30,1680,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0,Not Renewed
5239,364011,Indiana,2017-06-30,1750,250,ZZ,U,D,H,C,J,C,H,A,202.0,4.0,7.0,999,11.0,Not Renewed
5240,364680,Indiana,2017-06-30,1680,240,ZZ,T,ZZ,ZZ,ZZ,F,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0,Renewed
5244,347145,Ohio,2017-06-30,2527,361,ZZ,T,H,G,C,J,B,D,A,213.0,3.0,7.0,999,11.0,Renewed
5245,347331,Ohio,2017-06-30,2905,415,ZZ,T,A,H,A,O,A,E,B,39.0,3.0,7.0,999,11.0,Renewed
5255,220155,Alabama,2017-06-30,4123,589,ZZ,R,D,H,C,M,B,G,D,317.0,4.0,7.0,999,11.0,Renewed
5257,198888,Florida,2017-06-30,3500,500,ZZ,S,J,J,C,N,C,G,E,824.0,5.0,7.0,999,11.0,Not Renewed
5259,199839,Florida,2017-06-30,1680,240,ZZ,S,ZZ,ZZ,ZZ,O,ZZ,ZZ,ZZ,0.0,4.0,7.0,999,11.0,Renewed
5260,189798,Florida,2017-06-30,2135,305,ZZ,S,J,J,C,C,C,G,E,261.0,1.0,7.0,999,11.0,Not Renewed
5261,167052,Georgia,2017-06-30,5250,750,ZZ,R,G,H,C,J,B,G,E,574.0,2.0,7.0,999,11.0,Renewed
5262,167193,Georgia,2017-06-30,5775,825,ZZ,R,G,H,C,J,B,G,E,544.0,2.0,7.0,999,11.0,Renewed
5263,169551,Georgia,2017-06-30,3787,541,ZZ,T,G,G,D,C,C,G,D,471.0,1.0,7.0,999,11.0,Renewed
5264,169614,Georgia,2017-06-30,2107,301,ZZ,T,E,H,C,L,B,G,D,256.0,2.0,7.0,999,11.0,Not Renewed
5265,169758,Georgia,2017-06-30,2947,421,ZZ,R,G,G,D,E,C,G,D,224.0,2.0,7.0,999,11.0,Renewed
5266,169836,Georgia,2017-06-30,2751,393,ZZ,T,E,H,C,K,B,G,D,218.0,2.0,7.0,999,11.0,Renewed
5267,169962,Georgia,2017-06-30,4718,674,ZZ,ZZ,D,H,C,A,B,G,D,304.0,1.0,7.0,999,11.0,Renewed
5268,161766,Georgia,2017-06-30,3150,450,ZZ,R,D,H,D,I,C,H,E,405.0,2.0,7.0,999,11.0,Not Renewed
5269,162174,Georgia,2017-06-30,3675,525,ZZ,R,D,H,D,E,C,H,E,421.0,1.0,7.0,999,11.0,Renewed
5272,152853,Georgia,2017-06-30,4277,611,ZZ,R,C,H,C,J,C,G,D,278.0,1.0,7.0,999,11.0,Renewed
5273,152922,Georgia,2017-06-30,4277,611,ZZ,R,C,H,C,H,C,G,D,683.0,1.0,7.0,999,11.0,Not Renewed
5274,153153,Georgia,2017-06-30,5845,835,ZZ,R,E,I,B,M,B,G,E,360.0,2.0,7.0,999,11.0,Renewed
5275,153336,Georgia,2017-06-30,3500,500,ZZ,S,H,I,D,G,C,G,E,485.0,2.0,7.0,999,11.0,Not Renewed
5276,156777,Georgia,2017-06-30,3395,485,ZZ,R,A,G,D,B,C,G,C,283.0,1.0,7.0,999,11.0,Renewed
5277,156978,Georgia,2017-06-30,2100,300,ZZ,T,D,G,D,D,C,E,C,662.0,1.0,7.0,999,11.0,Not Renewed
5278,153825,Georgia,2017-06-30,2170,310,ZZ,ZZ,E,I,B,K,B,G,E,237.0,1.0,7.0,999,11.0,Not Renewed
5279,153846,Georgia,2017-06-30,2940,420,ZZ,ZZ,E,I,B,K,B,G,E,275.0,1.0,7.0,999,11.0,Renewed
5280,158244,Georgia,2017-06-30,3913,559,ZZ,R,C,F,C,C,B,E,C,482.0,1.0,7.0,999,11.0,Renewed
5284,173583,Georgia,2017-06-30,2975,425,ZZ,R,K,H,B,K,A,G,D,301.0,2.0,7.0,999,11.0,Renewed
5285,168615,Georgia,2017-06-30,2520,360,ZZ,T,K,F,D,F,C,E,C,471.0,1.0,7.0,999,11.0,Not Renewed
5287,174708,Florida,2017-06-30,7350,1050,ZZ,S,H,H,B,P,A,G,D,126.0,4.0,7.0,999,11.0,Renewed
5288,175539,Florida,2017-06-30,2170,310,ZZ,R,F,G,C,I,B,G,D,146.0,2.0,7.0,999,11.0,Renewed
5289,179790,Florida,2017-06-30,1680,240,ZZ,S,H,J,C,M,B,G,E,39.0,4.0,7.0,999,11.0,Renewed
5290,180051,Florida,2017-06-30,5768,824,ZZ,S,H,H,B,Q,A,G,D,101.0,4.0,7.0,999,11.0,Renewed
5291,180279,Florida,2017-06-30,4326,618,ZZ,U,H,I,C,C,B,G,E,305.0,1.0,7.0,999,11.0,Renewed
5292,180342,Florida,2017-06-30,5488,784,ZZ,U,H,I,C,Q,B,G,E,224.0,5.0,7.0,999,11.0,Renewed
5293,180555,Florida,2017-06-30,3780,540,ZZ,R,H,I,C,P,B,G,E,117.0,5.0,7.0,999,11.0,Renewed
5294,180735,Florida,2017-06-30,2842,406,ZZ,U,H,I,C,C,B,G,E,426.0,1.0,7.0,999,11.0,Not Renewed
5295,180894,Florida,2017-06-30,4200,600,ZZ,U,H,I,C,N,B,G,E,347.0,5.0,7.0,999,11.0,Renewed
5296,180990,Florida,2017-06-30,5474,782,ZZ,U,H,I,C,Q,B,G,E,112.0,5.0,7.0,999,11.0,Renewed
5300,182475,Florida,2017-06-30,3080,440,ZZ,T,F,G,D,E,C,G,D,210.0,2.0,7.0,999,11.0,Renewed
5301,183105,Florida,2017-06-30,4200,600,ZZ,R,F,G,D,G,C,G,D,267.0,2.0,7.0,999,11.0,Renewed
5307,235836,Alabama,2017-06-30,3500,500,ZZ,R,C,G,C,F,B,G,D,498.0,1.0,7.0,999,11.0,Not Renewed
5316,271860,Mississippi,2017-06-30,2800,400,ZZ,T,K,E,D,C,C,E,C,350.0,2.0,7.0,999,11.0,Not Renewed
5318,266577,Mississippi,2017-06-30,2100,300,ZZ,T,B,G,D,B,D,G,D,294.0,3.0,7.0,999,11.0,Not Renewed
5324,74295,Pennsylvania,2017-06-30,1680,240,ZZ,T,E,E,B,K,B,G,D,129.0,4.0,7.0,999,11.0,Not Renewed
5325,74346,Pennsylvania,2017-06-30,2870,410,ZZ,S,D,G,A,P,A,E,A,76.0,4.0,7.0,999,11.0,Renewed
5326,55659,New York,2017-06-30,2660,380,ZZ,ZZ,D,G,B,Q,A,C,A,0.0,5.0,7.0,999,11.0,Renewed
5327,56283,New York,2017-06-30,5250,750,ZZ,S,G,E,A,Q,A,C,A,51.0,4.0,7.0,999,11.0,Renewed
5328,56901,New York,2017-06-30,2030,290,ZZ,R,A,H,B,P,A,B,A,0.0,4.0,7.0,999,11.0,Renewed
5329,57471,New York,2017-06-30,3136,448,ZZ,S,E,K,A,P,A,G,D,0.0,4.0,7.0,999,11.0,Renewed
5330,49080,New Jersey,2017-06-30,2310,330,ZZ,S,C,F,D,I,C,G,C,209.0,2.0,7.0,999,11.0,Not Renewed
5332,70278,New York,2017-06-30,2534,362,ZZ,S,K,G,B,Z,A,B,A,108.0,5.0,7.0,999,11.0,Renewed
5333,70317,New York,2017-06-30,2590,370,ZZ,S,F,F,B,P,A,C,A,64.0,5.0,7.0,999,11.0,Renewed
5334,70548,New York,2017-06-30,1680,240,ZZ,S,ZZ,ZZ,ZZ,O,ZZ,ZZ,ZZ,0.0,4.0,7.0,999,11.0,Renewed
5335,70821,New York,2017-06-30,2198,314,ZZ,S,H,H,D,L,D,G,H,301.0,5.0,7.0,999,11.0,Not Renewed
5336,71082,New York,2017-06-30,2198,314,ZZ,U,H,H,D,A,D,G,H,545.0,2.0,7.0,999,11.0,Not Renewed
5337,71223,New York,2017-06-30,1680,240,ZZ,R,A,G,C,I,C,H,G,136.0,3.0,7.0,999,11.0,Not Renewed
5338,71361,New York,2017-06-30,2765,395,ZZ,R,E,F,D,I,D,H,G,291.0,5.0,7.0,999,11.0,Not Renewed
5339,71436,New York,2017-06-30,3360,480,ZZ,T,F,H,B,K,B,B,A,179.0,4.0,7.0,999,11.0,Renewed
5340,71577,New York,2017-06-30,3031,433,ZZ,T,F,H,B,L,B,B,A,84.0,4.0,7.0,999,11.0,Renewed
5341,68175,New York,2017-06-30,2681,383,ZZ,S,E,E,B,G,B,G,C,133.0,1.0,7.0,999,11.0,Renewed
5342,68400,New York,2017-06-30,4207,601,ZZ,R,B,H,C,E,B,D,A,240.0,1.0,7.0,999,11.0,Renewed
5343,68778,New York,2017-06-30,2100,300,ZZ,R,C,F,C,L,C,H,G,0.0,4.0,7.0,999,11.0,Renewed
5344,71952,Pennsylvania,2017-06-30,1995,285,ZZ,S,D,F,B,L,A,C,A,25.0,2.0,7.0,999,11.0,Renewed
